id;category_code;category;title;date;author_1;author_2;author_3;author_4;author_5;summary;link
arXiv:cs/9308102;[cs.AI];Computer Science > Artificial Intelligence;A Market-Oriented Programming Environment and its Application to Distributed Multicommodity Flow Problems;[Submitted on 1 Aug 1993];M. P. Wellman;;;;;Market price systems constitute a well-understood class of mechanisms thatunder certain conditions provide effective decentralization of decision makingwith minimal communication overhead. In a market-oriented programming approachto distributed problem solving, we derive the activities and resourceallocations for a set of computational agents by computing the competitiveequilibrium of an artificial economy. WALRAS provides basic constructs fordefining computational market structures, and protocols for deriving theircorresponding price equilibria. In a particular realization of this approachfor a form of multicommodity flow problem, we see that careful construction ofthe decision process according to economic principles can lead to efficientdistributed resource allocation, and that the behavior of the system can bemeaningfully analyzed in economic terms.;https://arxiv.org/abs/cs/9308102
arXiv:cs/9308101;[cs.AI];Computer Science > Artificial Intelligence;Dynamic Backtracking;[Submitted on 1 Aug 1993];M. L. Ginsberg;;;;;Because of their occasional need to return to shallow points in a searchtree, existing backtracking methods can sometimes erase meaningful progresstoward solving a search problem. In this paper, we present a method by whichbacktrack points can be moved deeper in the search space, thereby avoiding thisdifficulty. The technique developed is a variant of dependency-directedbacktracking that uses only polynomial space while still providing usefulcontrol information and retaining the completeness guarantees provided byearlier approaches.;https://arxiv.org/abs/cs/9308101
arXiv:cs/9403101;[cs.AI];Computer Science > Artificial Intelligence;Exploring the Decision Forest: An Empirical Investigation of Occam's Razor in Decision Tree Induction;[Submitted on 1 Mar 1994];P. M. Murphy;M. J. Pazzani;;;;We report on a series of experiments in which all decision trees consistentwith the training data are constructed. These experiments were run to gain anunderstanding of the properties of the set of consistent decision trees and thefactors that affect the accuracy of individual trees. In particular, weinvestigated the relationship between the size of a decision tree consistentwith some training data and the accuracy of the tree on test data. Theexperiments were performed on a massively parallel Maspar computer. The resultsof the experiments on several artificial and two real world problems indicatethat, for many of the problems investigated, smaller consistent decision treesare on average less accurate than the average accuracy of slightly largertrees.;https://arxiv.org/abs/cs/9403101
arXiv:cs/9402103;[cs.AI];Computer Science > Artificial Intelligence;Bias-Driven Revision of Logical Domain Theories;[Submitted on 1 Feb 1994];M. Koppel;R. Feldman;A. M. Segre;;;The theory revision problem is the problem of how best to go about revising adeficient domain theory using information contained in examples that exposeinaccuracies. In this paper we present our approach to the theory revisionproblem for propositional domain theories. The approach described here, calledPTR, uses probabilities associated with domain theory elements to numericallytrack the ``flow'' of proof through the theory. This allows us to measure theprecise role of a clause or literal in allowing or preventing a (desired orundesired) derivation for a given example. This information is used toefficiently locate and repair flawed elements of the theory. PTR is proved toconverge to a theory which correctly classifies all examples, and shownexperimentally to be fast and accurate even for deep theories.;https://arxiv.org/abs/cs/9402103
arXiv:cs/9402102;[cs.AI];Computer Science > Artificial Intelligence;Substructure Discovery Using Minimum Description Length and Background Knowledge;[Submitted on 1 Feb 1994];D. J. Cook;L. B. Holder;;;;The ability to identify interesting and repetitive substructures is anessential component to discovering knowledge in structural data. We describe anew version of our SUBDUE substructure discovery system based on the minimumdescription length principle. The SUBDUE system discovers substructures thatcompress the original data and represent structural concepts in the data. Byreplacing previously-discovered substructures in the data, multiple passes ofSUBDUE produce a hierarchical description of the structural regularities in thedata. SUBDUE uses a computationally-bounded inexact graph match that identifiessimilar, but not identical, instances of a substructure and finds anapproximate measure of closeness of two substructures when under computationalconstraints. In addition to the minimum description length principle, otherbackground knowledge can be used by SUBDUE to guide the search towards moreappropriate substructures. Experiments in a variety of domains demonstrateSUBDUE's ability to find substructures capable of compressing the original dataand to discover structural concepts important to the domain. Description ofOnline Appendix: This is a compressed tar file containing the SUBDUE discoverysystem, written in C. The program accepts as input databases represented ingraph form, and will output discovered substructures with their correspondingvalue.;https://arxiv.org/abs/cs/9402102
arXiv:cs/9402101;[cs.AI];Computer Science > Artificial Intelligence;Learning the Past Tense of English Verbs: The Symbolic Pattern Associator vs. Connectionist Models;[Submitted on 1 Feb 1994];C. X. Ling;;;;;Learning the past tense of English verbs - a seemingly minor aspect oflanguage acquisition - has generated heated debates since 1986, and has becomea landmark task for testing the adequacy of cognitive modeling. Severalartificial neural networks (ANNs) have been implemented, and a challenge forbetter symbolic models has been posed. In this paper, we present ageneral-purpose Symbolic Pattern Associator (SPA) based upon the decision-treelearning algorithm ID3. We conduct extensive head-to-head comparisons on thegeneralization ability between ANN models and the SPA under differentrepresentations. We conclude that the SPA generalizes the past tense of unseenverbs better than ANN models by a wide margin, and we offer insights as to whythis should be the case. We also discuss a new default strategy fordecision-tree learning algorithms.;https://arxiv.org/abs/cs/9402101
arXiv:cs/9311102;[cs.AI];Computer Science > Artificial Intelligence;Software Agents: Completing Patterns and Constructing User Interfaces;[Submitted on 1 Nov 1993];J. C. Schlimmer;L. A. Hermens;;;;To support the goal of allowing users to record and retrieve information,this paper describes an interactive note-taking system for pen-based computerswith two distinctive features. First, it actively predicts what the user isgoing to write. Second, it automatically constructs a custom, button-box userinterface on request. The system is an example of a learning-apprenticesoftware- agent. A machine learning component characterizes the syntax andsemantics of the user's information. A performance system uses this learnedinformation to generate completion strings and construct a user interface.Description of Online Appendix: People like to record information. Doing thison paper is initially efficient, but lacks flexibility. Recording informationon a computer is less efficient but more powerful. In our new note takingsoftwre, the user records information directly on a computer. Behind theinterface, an agent acts for the user. To help, it provides defaults andconstructs a custom user interface. The demonstration is a QuickTime movie ofthe note taking agent in action. The file is a binhexed self-extractingarchive. Macintosh utilities for binhex are available from;https://arxiv.org/abs/cs/9311102
arXiv:cs/9309101;[cs.AI];Computer Science > Artificial Intelligence;An Empirical Analysis of Search in GSAT;[Submitted on 1 Sep 1993];I. P. Gent;T. Walsh;;;;We describe an extensive study of search in GSAT, an approximation procedurefor propositional satisfiability. GSAT performs greedy hill-climbing on thenumber of satisfied clauses in a truth assignment. Our experiments provide amore complete picture of GSAT's search than previous accounts. We describe indetail the two phases of search: rapid hill-climbing followed by a long plateausearch. We demonstrate that when applied to randomly generated 3SAT problems,there is a very simple scaling with problem size for both the mean number ofsatisfied clauses and the mean branching rate. Our results allow us to makedetailed numerical conjectures about the length of the hill-climbing phase, theaverage gradient of this phase, and to conjecture that both the average scoreand average branching rate decay exponentially during plateau search. We end byshowing how these results can be used to direct future theoretical analysis.This work provides a case study of how computer experiments can be used toimprove understanding of the theoretical properties of algorithms.;https://arxiv.org/abs/cs/9309101
arXiv:cs/9311101;[cs.AI];Computer Science > Artificial Intelligence;The Difficulties of Learning Logic Programs with Cut;[Submitted on 1 Nov 1993];F. Bergadano;D. Gunetti;U. Trinchero;;;As real logic programmers normally use cut (!), an effective learningprocedure for logic programs should be able to deal with it. Because the cutpredicate has only a procedural meaning, clauses containing cut cannot belearned using an extensional evaluation method, as is done in most learningsystems. On the other hand, searching a space of possible programs (instead ofa space of independent clauses) is unfeasible. An alternative solution is togenerate first a candidate base program which covers the positive examples, andthen make it consistent by inserting cut where appropriate. The problem oflearning programs with cut has not been investigated before and this seems tobe a natural and reasonable approach. We generalize this scheme and investigatethe difficulties that arise. Some of the major shortcomings are actuallycaused, in general, by the need for intensional evaluation. As a conclusion,the analysis of this paper suggests, on precise and technical grounds, thatlearning cut is difficult, and current induction techniques should probably berestricted to purely declarative logic languages.;https://arxiv.org/abs/cs/9311101
arXiv:cs/9312101;[cs.AI];Computer Science > Artificial Intelligence;Decidable Reasoning in Terminological Knowledge Representation Systems;[Submitted on 1 Dec 1993];M. Buchheit;F. M. Donini;A. Schaerf;;;Terminological knowledge representation systems (TKRSs) are tools fordesigning and using knowledge bases that make use of terminological languages(or concept languages). We analyze from a theoretical point of view a TKRSwhose capabilities go beyond the ones of presently available TKRSs. The newfeatures studied, often required in practical applications, can be summarizedin three main points. First, we consider a highly expressive terminologicallanguage, called ALCNR, including general complements of concepts, numberrestrictions and role conjunction. Second, we allow to express inclusionstatements between general concepts, and terminological cycles as a particularcase. Third, we prove the decidability of a number of desirable TKRS-deductionservices (like satisfiability, subsumption and instance checking) through asound, complete and terminating calculus for reasoning in ALCNR-knowledgebases. Our calculus extends the general technique of constraint systems. As abyproduct of the proof, we get also the result that inclusion statements inALCNR can be simulated by terminological cycles, if descriptive semantics isadopted.;https://arxiv.org/abs/cs/9312101
